repository_path_or_disposition	original_path_or_source	mtime	bytes	sha256
scripts/mad_semantics_probe.py	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/mad_semantics_probe.py	2026-09-01T19:11:02+0200	7099	96c588f5d029946f09dcc3c23c3c620442e1a8b619841bd33dc4ddec7172cda9
scripts/mad_probe2.py	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/mad_probe2.py	2026-09-01T19:14:44+0200	4979	c535a08d32ed26b7b20f60769dc6b5c53874cf1d6737820b4a2e0a2abdc37c72
scripts/mad_probe6.py	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/mad_probe6.py	2026-09-01T19:35:51+0200	2442	7179365f9f7185010f1ac215296cfe1fe4c546209d878aaef2423c937bce2d49
outputs/probe_out.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe_out.txt	2026-09-01T19:11:53+0200	5774	5dfa2327e514e77ae6857dc51486f23266dbaf5857d12cafebea64127524ae48
outputs/probe_err.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe_err.txt	2026-09-01T19:11:38+0200	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/probe_vals.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe_vals.txt	2026-09-01T19:13:12+0200	8763	992406e36b47b143ec3aaa82c3b94875fedd4501760ef855eafecf401a61c739
outputs/probe_vals_err.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe_vals_err.txt	2026-09-01T19:12:12+0200	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/probe2_out.json	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe2_out.json	2026-09-01T19:19:39+0200	39133	52c44c5b5b2fef68982cd9462a96684ef04a228de34ca16d4c83d8e548ab4270
outputs/probe2_err.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe2_err.txt	2026-09-01T19:19:39+0200	43	73e44d8e0204add788a7c5593f71908e575a18e2714485de5d5e152778a7724e
outputs/probe3.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe3.txt	2026-09-01T19:24:15+0200	1765	dd543048c31f132ea5a832cd1f2dda085cc0895488933147d357dff51c5d4c3b
